0	32	32	68	68	79	85	109	109	137
6	38	38	74	74	85	91	115	115	143
12	44	44	80	80	91	97	121	121	149
18	57	57	101	106	120	126	156	156	191
24	63	63	107	112	126	132	162	162	197
30	78	78	132	138	155	162	198	204	248
36	84	84	138	144	161	168	204	210	254
42	90	90	144	150	167	174	210	216	260
48	96	96	150	156	173	180	216	222	266
54	102	102	156	162	179	186	222	228	272
172	197	197	226	226	235	241	261	261	284
178	203	203	232	232	241	247	267	267	290
184	209	209	238	238	247	253	273	273	296
190	215	215	244	244	253	259	279	279	302
